Country,Year,Co2,Co2_per_capita,Gdp,Gdp_per_capita,Coal_co2,Cement_co2,Flaring_co2,Gas_co2,Oil_co2,Coal_co2_per_capita,Cement_co2_per_capita,Flaring_co2_per_capita,Gas_co2_per_capita,Oil_co2_per_capita,Cumulative_co2,Cumulative_coal_co2,Cumulative_cement_co2,Cumulative_flaring_co2,Cumulative_gas_co2,Cumulative_oil_co2,Annual_co2_fossil_cement,Co2_per_gdp,Consumption_co2_per_gdp,Consumption_co2,Consumption_co2_per_capita
India,1960,120581.961,0.267634188,37029883875.0,82.18860274,88003183,4002217,,,19444848,0.1953,0.0089,,,0.0432,2835588136.0,2544256551.0,40412383,,,250919201.0,111450248,0.214,,,
Japan,1960,232781.16,2.497223223,44307342950.0,475.3190756,139144064,11139081,,1601168.0,80615328,1.4854,0.1189,,0.0171,0.8606,5756013486.0,5225207889.0,107824883,,8566389.0,414414323.0,232499641,0.3889,,,
Russia,1960,1448637.349,12.08234859,,,585156284,13753032,,61635983.0,222381759,4.8815,0.1147,,0.5142,1.8552,13271821058.0,9795064629.0,106299829,,295398236.0,3075058375.0,882927058,1.3281,,,
United States,1960,2890696.1,15.99977916,543300000000.0,3007.123445,917963904,28620891,30315936.0,630024800.0,1281630560,4.9162,0.1533,0.1624,3.3742,6.8639,119157210334.0,79645956422.0,582717047,440977089.0,9410358725.0,28880549709.0,2897138041,0.888,,,
India,1961,130402.187,0.283703708,39232435784.0,85.35430099,95020481,4204885,,3664.0,21310423,0.2067,0.0091,,0.0,0.0464,2956127589.0,2639277032.0,44617268,,3664.0,272229624.0,120539453,0.2247,,,
Japan,1961,283118.069,3.010133103,53508617739.0,568.9077427,160866340,12175009,,2044538.0,107701011,1.7012,0.1288,,0.0216,1.139,6038800384.0,5386074229.0,119999892,,10610927.0,522115334.0,282786898,0.4222,,,
Russia,1961,1493932.133,12.32251256,,,574963957,15351596,,79831897.0,240395000,4.736,0.1265,,0.6576,1.9801,14182363508.0,10370028586.0,121651425,,375230133.0,3315453375.0,910542450,1.2777,,,
United States,1961,2880505.507,15.68125552,563300000000.0,3066.562869,887442784,28522204,28198144.0,636414816.0,1297316144,4.6813,0.1505,0.1487,3.3572,6.8435,122043906426.0,80533399206.0,611239251,469175233.0,10046773541.0,30177865853.0,2886696092,0.8646,,,
India,1962,143467.708,0.305850957,42161481859.0,89.88175649,103407487,4380947,43967.0,10992.0,24885252,0.2204,0.0093,0.0001,0.0,0.0531,3088856234.0,2742684519.0,48998215,43967.0,14656.0,297114876.0,132728645,0.242,,,
Japan,1962,293220.654,3.088711554,60723018684.0,639.6407854,154214096,14228222,,2660064.0,121762048,1.6155,0.1491,,0.0279,1.2755,6331664814.0,5540288325.0,134228114,,13270991.0,643877382.0,292864430,0.4014,,,
Russia,1962,1567950.528,12.79009493,,,570994978,17286430,,99101657.0,268283698,4.6476,0.1407,,0.8066,2.1837,15138030270.0,10941023564.0,138937855,,474331790.0,3583737073.0,955666762,1.2486,,,
United States,1962,2987207.873,16.0139375,605100000000.0,3243.843078,920818160,29694630,22921984.0,676367072.0,1334747568,4.7881,0.1544,0.1192,3.517,6.9405,125037624590.0,81454217366.0,640933881,492097217.0,10723140613.0,31512613421.0,2993718164,0.8457,,,
India,1963,154083.673,0.321794976,48421923459.0,101.1264294,110577465,4771153,135568.0,10992.0,27106272,0.2309,0.01,0.0003,0.0,0.0566,3231457684.0,2853261984.0,53769368,179535.0,25648.0,324221148.0,142601450,0.2474,,,
Japan,1963,325222.563,3.391267602,69498131797.0,724.6937622,155338944,14802439,,3671328.0,151022752,1.6116,0.1536,,0.0381,1.5668,6656500277.0,5695627269.0,149030553,,16942319.0,794900134.0,324835463,0.4104,,,
Russia,1963,1681524.852,13.56506012,,,592005057,18382487,,121218792.0,293304823,4.7662,0.148,,0.9759,2.3614,16162941429.0,11533028621.0,157320342,,595550582.0,3877041896.0,1024911159,1.2876,,,
United States,1963,3119230.874,16.48276215,638600000000.0,3374.515171,987008320,31241695,20650304.0,718455440.0,1359256064,5.0633,0.1603,0.1059,3.6857,6.973,128163918613.0,82441225686.0,672175576,512747521.0,11441596053.0,32871869485.0,3126294023,0.8466,,,
